Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Has the team size grown,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Co-founders,Number of of advisors,Team size all employees,Number of  Sales Support material,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Focus on private or public data?,Local or global player,Machine Learning based business,Average Years of experience for founder and co founder,Highest education,Years of education,Specialization of highest education,Skills score,Employee benefits and salary structures,Company awards,Client Reputation,Number of Direct competitors,Last round of funding received (in milionUSD)
Company86,Success,2011,3,-77,The Twitter of food.,Analytics|Food & Beverages|Social Networking|Mobile,MARKETING,Wayra,,No,9/18/2012,50000,United Kingdom,Europe,1,2,0,No Info,high,No,No,No,Service,Public,LOCAL,Yes,High,Masters,21,ECONOMICS,9,No Info,No,No Info,12,0.05
Company87,Success,2010,4,-103,mobile sales analytics,E-Commerce|Analytics|Advertising|Mobile,APP REVENUE,Seedcamp,6,No,04/01/2011,50000,United Kingdom,Europe,2,3,1,50,medium,Yes,No,No,Service,Public,LOCAL,Yes,High,Masters,21,"Engineering, management",30,No Info,No,Low,2,0.05
Company88,Success,2009,5,-2,Social Influence/Authority platform,Media|Advertising|Analytics|Marketing,OPERATIONS,Stefan Glaenzer|Sherry Coutu|Ab Banerjee|Shamil Chandaria|Anish Chandaria|Bill Emmott|Ditlev Schwanenflugel|Ken Olisa|Azeem Azhar|Anthemis Group|Meridian Venture Partners|Tom Glocer|Sanford Dickert,20,No,3/19/2012,3000000,United Kingdom,Europe,0,2,3,50,medium,Yes,No,Yes,Service,Public,LOCAL,No,High,PhD,25,artificial intelligence and advanced technloges,37,No Info,No,Low,0,3
Company89,Success,2011,3,261,"technology research, AI, data mining",Analytics,intellectual property analysis and visualisation,IP Group Plc|Northstar Ventures|Arvi Tavast,,No,04/01/2013,200000,United Kingdom,Europe,6,2,0,10,low,No,No,No,Service,Public,LOCAL,Yes,High,Masters,21,computer science,49,No Info,No,No Info,0,0.2
Company90,Success,2013,1,763,Data. Action. Profit.,E-Commerce|Retail|Analytics,retail,Alastair Mitchell|Andy McLoughlin|Tim Jackson|Phil Wilkinson|Guy Westlake|Sean Cornwell|Ned Cranborne|Shan Drummond|Innova Kapital,10,YES,3/25/2014,1500000,United Kingdom,Europe,9,2,0,50,high,No,No,Yes,Service,Public,GLOBAL,Yes,High,Masters,21,maths,37,No Info,No,No Info,0,1.5
Company91,Success,2010,4,-13,Enterprise social network,Social Networking,data visualization,Cantabria Capital,6,No,03/01/2010,1700000,United States,North America,0,0,0,10,low,Yes,No,No,Service,Both,global,No,High,Masters,21,INDUSTRI,10,Average,Yes,Low,6,1.7
Company92,Success,2011,3,293,Healthcare transformation.,Healthcare,analytics,RPM Ventures|Arboretum Ventures|Wolverine Venture Fund|Renaissance Venture Capital Fund|Detroit Innovate,28,yes,02/10/2014,1300000,United States,North America,0,0,0,50,medium,Yes,No,No,Product,Both,global,Yes,Medium,PhD,25,Medicine,0,Bad,No,No Info,7,1.3
Company93,Success,2010,4,126,Competitions for startups,E-Commerce|Mobile,service,Voyager Capital|VegasTechFund|Lars-Henrik Friis Molin|Amicus Group|Kolind A/S,25,yes,03/01/2014,1100000,United States,North America,0,3,2,28,medium,Yes,No,No,Service,no,local,No,High,Masters,21,Biology,19,No Info,Yes,Low,0,1.1
Company94,Success,2007,7,9,,Healthcare,analytics,BEST Funds,,yes,,,Canada,North America,0,2,2,88,low,Yes,Yes,Yes,Service,Both,global,No,Low,Bachelors,18,Computers,25,No Info,No,No Info,0,unknown amount
Company95,Success,2002,12,123,predictive solutions,Analytics,analytics,Appian Ventures|Core Capital Partners|QED Investors,31,No,09/07/2011,7500000,United States,North America,0,0,0,50,medium,Yes,Yes,Yes,Service,Both,Local,No,High,Masters,21,Business,24,No Info,No,Low,0,7.5
Company96,Success,2011,3,53,,Enterprise Software,marketing,500 Startups|Tech Wildcatters|Start-Up Chile,8,No,05/01/2013,50000,India,Asia,3,2,0,8,medium,No,No,Yes,Product,no,global,No,Low,Masters,21,business,14,No Info,Yes,No Info,0,0.05
Company97,Success,2012,2,504,,,social media,,,No,,,,,2,3,1,4,medium,No,No,No,Service,Both,global,No,Low,Bachelors,18,Engg,13,No Info,No,No Info,0,0.5
Company98,Success,2012,2,661,,Real Estate,sales,Nexus Venture Partners,,yes,,,,,1,4,0,315,medium,No,No,No,Service,Both,local,No,Medium,Bachelors,18,Engg,18,No Info,No,No Info,0,2.5
Company99,Success,2012,2,,,,service,,,No,,,,,1,2,0,No Info,low,Yes,No,Yes,Product,Both,local,No,High,Masters,21,Computers,21,No Info,No,Low,0,0.55
Company100,Success,2012,2,220,,E-Commerce,service,500 Startups|Karamveer Singh|Dinesh Tejwani,6,No,5/14/2013,,India,Asia,3,2,0,6,medium,Yes,No,Yes,Product,Both,local,No,Medium,Masters,21,Business,19,No Info,Yes,No Info,0,unknown amount
Company101,Success,2012,2,,,,service,,,No,,,,,4,2,0,11,medium,No,Yes,Yes,Product,no,local,No,High,Masters,21,Finance,19,No Info,No,No Info,1,1
Company102,Success,2012,2,-2,Dashboard,Analytics,analytics,Philippe Debever,6,No,6/15/2012,125000,Belgium,Europe,0,3,0,5,medium,Yes,No,Yes,Product,Both,global,No,Low,No Info,No Info,,25,No Info,No,No Info,0,0.125
Company103,Success,2010,4,-34,,Analytics,security,Aleph,16,No,11/07/2013,5000000,Switzerland,Europe,0,2,0,50,medium,Yes,No,No,Product,Both,global,Yes,High,Bachelors,18,Computers,17,No Info,Yes,No Info,0,5
Company104,Success,2009,5,-26,Specialists in Internet TV,Analytics,service,,,No,09/01/2009,50000,United Kingdom,Europe,1,1,0,50,low,Yes,No,No,Service,Both,global,No,Low,Masters,21,Media,0,No Info,No,Low,3,0.05
Company105,Success,2009,5,265,SaaS Marketing Analytics,Analytics|Marketing,service,Northstar Ventures,13,No,09/08/2012,500000,United Kingdom,Europe,2,0,1,10,high,Yes,No,No,Service,Both,No Info,No,High,Masters,21,MBA,16,No Info,No,Low,15,0.5
Company106,Success,2012,2,-2,Real-time discounts platform,Mobile|Advertising|Social Networking|Marketing|E-Commerce|Analytics|Enterprise Software,marketing,James Regan|Matt Hagger,,No,09/01/2012,50000,United Kingdom,Europe,3,1,0,10,Nothing,No,No,No,Service,no,No Info,No,Medium,Bachelors,18,Law,11,No Info,No,No Info,5,0.05
Company107,Success,2008,6,98,Food Label Data Analysis,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,Capital Innovators|Cultivation Capital,12,No,04/05/2013,100000,United States,North America,3,3,2,20,medium,Yes,No,No,Service,Private,Global,No,Medium,Bachelors,18,Nutrition and Sociology ,48,No Info,No,Low,0,0.1
Company108,Success,2011,3,338,Analytics for sales decisions.,Analytics|E-Commerce|Marketing,"Marketing, Sales",Eric Kwan|Google Ventures|Kenny Van Zant|Franklyn Chien|Ryan Merket|Bobby Goodlatte|Yishan Wong|Brian McClendon|Charles River Ventures|Greylock Partners|New Enterprise Associates|Y Combinator|Gabor Cselle|George Zachary|Jim Young|Alison Rosenthal|Data Collective,12,No,12/19/2013,175000,United States,North America,22,2,0,10,low,Yes,No,Yes,Service,Private,Global,No,High,Masters,21,Business management,19,No Info,No,Low,0,0.175
Company109,Success,2010,4,-46,,Retail,Marketing,Great Oaks Venture Capital,,No,,,United States,North America,1,1,0,10,medium,Yes,No,No,Product,Public,Global,No,High,Masters,21,Physocology & Human behavior,25,No Info,No,Low,0,0.81
Company110,Success,2010,4,16,A market research technology firm.,Market Research,Research,,4,No,7/16/2010,,United States,North America,1,0,0,10,Nothing,No,No,Yes,Service,Public,Local,No,High,Masters,21,Theatre and Music,22,No Info,No,Low,0,unknown amount
Company111,Success,2010,4,361,Business Dashboards,Analytics,"operations, sales, marketing",Jerry Yang|Paul Buchheit|SV Angel|Y Combinator,8,No,11/17/2010,500000,United States,North America,3,2,1,10,low,No,No,No,Both,Private,Local,No,Medium,Bachelors,18,Electrical Engineering ,13,No Info,No,High,5,0.5
Company112,Success,2012,2,98,,,operations,Intertrust Technologies|Fredrik Astrup|Lars Erik Baustad|Marek Kiisa|Ivar Siimar,17,No,10/17/2012,,United States,North America,5,3,4,14,low,Yes,No,No,Both,Public,Global,No,High,Masters,21,Mechatronics,57.5,Good,No,Low,0,unknown amount
Company113,Success,2010,4,,,,research,,,No,,,,,4,0,0,15,medium,Yes,No,No,Product,Both,Local,Yes,High,Masters,21,Management,23.5,No Info,No,No Info,0,1
Company114,Success,2012,2,161,,Retail|Mobile,Marketing & Sales,TiE Angels|Hub Angels Investment Group|Jit Saxena|Rob Soni|John Simon|Gaugarin Oliver|Prakash Khot|LaunchCapital,21,No,11/19/2012,1100000,United States,North America,8,0,0,50,low,No,No,Yes,Product,Public,Local,No,Medium,Masters,21,Entrepreneurship & Innovation ,25,Good,No,Low,0,1.1
Company115,Success,2009,5,230,,Mobile|Marketing,Marketing & Sales,Chris DeVore|Tom Peterson|Aaron Bird|Founder's Co-op|Social Leverage|TechStars|Techstars|Howard Lindzon,8,No,12/20/2012,650000,United States,North America,6,1,2,11,low,No,No,No,Both,Public,Global,No,Medium,Bachelors,18,Computer Science,16.5,No Info,No,Low,0,0.65
Company116,Success,2013,1,,,,operations,,,No,,,,,1,0,0,10,low,Yes,No,Yes,Product,Public,Global,No,Medium,Bachelors,18,Economics,6.5,No Info,No,Low,0,0.375
Company117,Success,2011,3,528,Customer Experience Platform,Analytics|Marketing,"Marketing, Technology, Finance & Accounting, Customer service",Friends and Family|Jeremie Berrebi,12,No,11/10/2013,750000,United States,North America,3,0,4,5,low,Yes,No,Yes,Product,Both,Local,No,High,Masters,21,"Marketing, Logistics & Distribution",14.5,No Info,No,Low,0,0.75
Company118,Success,2009,5,512,New Generation of NoSQL,Network / Hosting / Infrastructure,operation,SV Angel|Sutter Hill Ventures|CrunchFund,14,No,11/12/2013,17000000,United States,North America,0,3,0,50,high,No,Yes,Yes,Service,Private,Local,No,High,Bachelors,18,Accounting,19.5,No Info,No,High,0,17
Company119,Success,2005,9,78,Cloud computing,Enterprise Software,"Computing, training",RTP Ventures|Almaz Capital|ru-Net Holdings,32,No,7/29/2013,10000000,United States,North America,0,2,7,10,medium,No,No,Yes,Both,Private,Global,No,High,Bachelors,18,Computer Science,35,No Info,No,High,0,10
Company120,Success,2008,6,150,online real estate broker,Real Estate|Mobile|E-Commerce,marketing,Robert Stewart|Revolution LLC,22,No,08/06/2012,3500000,United States,North America,1,2,1,18,high,Yes,No,No,Product,Public,Local,No,High,Bachelors,18,Marketing,17,No Info,No,Low,5,3.5
Company121,Success,2012,2,129,Video Optimization,Media|Entertainment|Analytics|Network / Hosting / Infrastructure|Publishing,marketing,Nick Rau|Bob Jacobson|Jimmy Barge|Jor Law,16,No,10/04/2013,1700000,United States,North America,0,0,0,15,low,No,No,No,Product,Private,Local,No,Medium,Bachelors,18,Entertainment,22,Bad,Yes,Low,0,1.7
Company122,Success,2010,4,-4,,E-Commerce|Email|Analytics|Marketing,"Operations, marketing",FirstMark Capital|Foundry Group|First Round Capital|O’Reilly AlphaTech Ventures|O'Reilly AlphaTech Ventures,12,No,6/26/2012,7000000,United States,North America,1,1,0,50,low,Yes,No,No,Product,Private,Local,Yes,High,Bachelors,18,Economics,23,No Info,No,High,0,7
Company123,Success,2011,3,29,API for Social data context,Analytics|Crowdfunding|Search|Marketing,social advertising,Quotidian Ventures|Peter Shankman,5,No,09/01/2011,,United States,North America,0,0,4,5,low,Yes,No,Yes,Product,Public,Global,No,High,Bachelors,18,East Asian Studies and Economics,43.5,No Info,No,Low,0,unknown amount
Company124,Success,2010,4,-68,info exchange for physician interactions,Analytics|Healthcare,Research,Lux Capital|Fidelity Biosciences|Venrock|Highland Capital Partners|Gerson Lehrman Group|Jonathan Bush|Ed Park|John Goldsmith|James Golden,35,No,01/02/2013,11000000,United States,North America,0,3,7,50,high,Yes,No,No,Product,Public,Local,No,High,PhD,25,Biomedical Enterprise,23,Good,No,Low,0,11
Company125,Success,2011,3,266,Database technology,Network / Hosting / Infrastructure|Enterprise Software|Software Development|Analytics,operations,IA Ventures|Digital Sky Technologies|Data Collective|Raymond Tonsing|Khosla Ventures|Accel Partners|First Round Capital|New Enterprise Associates|Start Fund|SV Angel|Y Combinator|Paul Buchheit|Sam Altman|Ashton Kutcher|Guy Oseary|Ron Garret|Karl Jacob|Marco Bergmann|Mark LaRosa|Tom McInerney|Janis Krums,37,No,1/22/2014,35000000,United States,North America,0,2,0,11,low,No,No,No,Product,Private,Local,No,High,PhD,25,computer science,53,Good,No,Low,0,35
Company126,Success,2011,3,70,,,"marketing, sales",TiE Angels|Naya Ventures|Keiretsu Forum|Portland Seed Fund,9,No,3/27/2014,50000,United States,North America,0,5,0,10,low,Yes,Yes,Yes,Product,Both,Global,Yes,High,Masters,21,"Electrical and Electronics Engineering
Aerospace Engineering",36,No Info,No,Low,0,0.05
Company127,Success,2006,8,113,Marketing Decisions Platform,Marketing,Marketing,Kegonsa Capital Partners|Goldman Sachs,138,Yes,10/18/2013,9400000,United States,North America,0,1,7,130,medium,Yes,No,No,Product,Both,Local,No,Medium,No Info,No Info,No Info,0,Bad,No,High,8,9.4
Company128,Success,2011,3,147,User generated interest graphs,,"marketing, sales",Alliance of Angels|Voyager Capital,11,No,02/01/2013,1700000,United States,North America,0,2,0,15,Nothing,Yes,No,No,Both,Public,Local,No,High,Masters,21,General,14,Good,No,Low,0,1.7
Company129,Success,No Info,No Info,62,,Market Research,operation,Earthrise Capital Partners,16,No,01/11/2012,,United States,North America,0,1,0,50,high,No,No,No,Product,Both,Global,No,High,No Info,No Info,No Info,0,Good,No,High,0,unknown amount
Company130,Success,1999,15,150,The Science of Better Results,Healthcare,risk,Cross Atlantic Capital Partners|Edison Ventures,178,Yes,8/23/2010,6100000,United States,North America,0,0,0,175,high,No,No,No,Both,Both,Local,No,High,Masters,21,Business management,13.5,Good,No,Low,0,6.1
Company131,Success,2008,6,429,Mobile App Analytics & Marketing,Analytics|Mobile|Marketing,"Marketing, sales",TechStars|Polaris Partners|ENIAC Ventures|MI Ventures LLC|New York Angels|LaunchPad Venture Group|Foundation Capital|Hub Angels Investment Group|Progress Ventures|Eniac Ventures|Techstars,73,No,02/04/2014,16000000,United States,North America,0,0,0,75,high,Yes,No,No,Product,Both,Global,No,Medium,Masters,21,General,26,Good,Yes,High,2,16
Company132,Success,2006,8,-385,Verified B2B Contacts,Marketing,"Marketing 
sales",Edison Ventures|Rikki Tahta|Simon Murdoch|Roland Beaulieu|Gary Mueller|Spring Lake Equity Partners,118,Yes,04/08/2014,13000000,United States,North America,0,2,0,120,low,Yes,No,No,Product,Private,Global,No,High,Masters,21,Earth Sciences,24.5,Good,Yes,Medium,2,13
Company133,Success,2012,2,96,Big Data Analytics,Analytics|Telecommunications,Research,AxVentures-Pymar Fund|Ax Ventures,10,No,07/01/2012,,Argentina,South America,0,3,3,16,low,Yes,No,Yes,Product,Public,Global,No,Medium,No Info,No Info,No Info,7.5,No Info,No,Low,0,unknown amount
Company134,Success,2010,4,81,Big Data Competitive Intelligence,Marketing,data collection ,EPIC Ventures|Kevin O'Connor,22,No,3/13/2013,2000000,United States,North America,0,1,0,23,low,Yes,No,No,Product,Public,Local,Yes,High,Bachelors,18,Aquatic biology,21,No Info,No,Low,4,2
Company135,Success,2012,2,627,,Marketing|Enterprise Software|Analytics,marketing,Rogue Venture Partners,4,No,02/08/2013,,United States,North America,0,1,0,10,low,No,No,No,Product,Private,Local,No,Medium,Bachelors,18,General,23,No Info,No,Low,0,unknown amount
Company136,Failed,2004,10,0,technology-enabled electronic payment,,"development, marketing, and administration",Spectrum Equity|Foundation Capital|Western Technology Investment|GGV Capital ,12,Yes,10/01/2009,62500000,United States,North America,0,3,1,100,low,Yes,No,No,Both,Private,Local,No,High,Bachelors,18,Engineering,100,No Info,No,Medium,0,62.5
Company137,Failed,2000,14,0,fabless semiconductors,Network / Hosting / Infrastructure,IT & Sales,BlueRun Ventures|Tallwood Venture Capital,18,No,06/02/2009,15000000,United States,North America,0,0,0,50,Nothing,Yes,No,Yes,Product,no,Local,No,High,Masters,21,business,25,No Info,No,No Info,0,15
Company138,Failed,2004,10,-445,user driven social content website,Media,social news,Greylock Partners|Omidyar Network|Marc Andreessen|Reid Hoffman|Ron Conway|Al Avery|FLOODGATE|SV Angel|Highland Capital Partners|SVB Financial Group|Kevin Rose|Floodgate Fund,79,Yes,07/12/2011,5000000,United States,North America,0,1,0,10,High,Yes,No,No,Product,Public,Global,No,High,Masters,21,Business Administration,200,No Info,No,No Info,28,5
Company139,Failed,2005,9,-91,Search engine,,web,Greylock Partners|Tugboat Ventures|Madrone Capital Partners,3,No,4/15/2008,25000000,United States,North America,0,3,0,30,Nothing,No,No,Yes,Product,Public,Global,Yes,High,PhD,25,computer,0,No Info,No,No Info,4,25
Company140,Failed,2009,5,-69,Daily Deals Site,E-Commerce,sale,Bain Capital Ventures|Matrix Partners|Pinnacle Ventures|Bain Capital|Christian Dahlen,,No,06/01/2011,5000000,United States,North America,0,0,0,80,medium,Yes,No,Yes,Service,Public,local,No,High,Masters,21,business,8,No Info,No,No Info,9,5
Company141,Failed,2005,9,-46,HTML5 Social Games,,Sales & Marketing,Mohr Davidow Ventures|Deep Fork Advisors|Deep Fork Capital|Motorola Mobility,,No,03/03/2011,,United States,North America,0,1,0,50,Nothing,Yes,No,Yes,Product,no,No Info,No,High,Masters,21,business,25,No Info,No,No Info,0,2.7
Company142,Failed,2008,6,14,Social mobile,Mobile,operation,,35,No,,,United Kingdom,Europe,0,0,0,40,low,Yes,No,Yes,Product,no,Global,No,High,Masters,21,business,25,No Info,No,Low,0,No Info
Company143,Failed,2012,2,16,Online wine service,E-Commerce|Food & Beverages|Mobile,Sales,,1,No,,,United States,North America,0,1,0,10,Nothing,No,No,Yes,Product,no,Local,No,High,Bachelors,18,engg,25,No Info,No,No Info,0,No Info
Company144,Failed,2011,3,107,all your photos everywhere,Mobile,social network,Index Ventures|500 Startups|Kii Capital|2020 Ventures|Strive Capital,0,No,7/19/2012,1000000,United States,North America,5,3,0,6,low,No,No,No,Service,no,No Info,No,High,Bachelors,18,business,12,No Info,No,No Info,0,1
Company145,Failed,2010,4,-77,Marketplace for quality tutoring.,Education,consumer web,Resolute.vc|Paul Buchheit|Sequoia Capital|Founder Collective|Lerer Ventures|SV Angel|Thrive Capital|Alexis Ohanian|Bubba Murarka|reinmkr capital|Y Combinator,19,No,2/18/2013,800000,United States,North America,9,3,0,10,low,No,No,No,Product,Public,Local,No,Medium,Bachelors,18,history,4,No Info,No,No Info,1,0.8
Company146,Failed,2008,6,-535,,Social Networking|Mobile,writing blog,James Joaquin|Russ Siegelman,5,No,4/25/2011,2300000,United States,North America,0,0,0,10,low,No,No,No,Product,Public,Global,No,High,No Info,No Info,,9,No Info,No,No Info,1,2.3
Company147,Failed,2007,7,-8,A place for people to talk about the tv ,Entertainment|Media|Mobile,marketing,Innogest,1,No,5/17/2011,1500000,Italy,Europe,0,0,0,10,Nothing,No,No,Yes,Service,Public,No Info,No,High,Bachelors,18,engg,0,No Info,No,No Info,6,1.5
Company148,Failed,2006,8,,,,curated web,,,No,,,,,0,1,0,3,low,Yes,No,No,Service,Private,Global,No,High,Bachelors,18,"Arts, Media",140,No Info,No,No Info,4,0.287
Company149,Success,2009,5,,,,marketing,,,No,,,,,0,2,0,20,Nothing,No,No,No,Service,Private,Local,No,Medium,Bachelors,18,computer,18,No Info,No,No Info,3,11.5
Company150,Failed,2006,8,8,SMS /Online Reminders,Search,Data Management,Hummer Winblad Venture Partners,0,No,3/20/2008,1000000,United States,North America,0,1,0,3,Nothing,No,No,No,Service,Private,Local,No,Medium,Masters,21,MBA,29,No Info,Yes,Medium,0,1
Company151,Failed,2007,7,-9,,Media,Recommendation ,Kraft Group|Robert Kraft|Johnathan Kraft,,yes,09/01/2007,10000000,United States,North America,0,3,2,40,Nothing,Yes,No,No,Service,Private,Local,Yes,High,Masters,21,business,25,No Info,No,No Info,1,10
Company152,Success,2005,9,50,Game development and monetization,Advertising|Gaming|Marketing,Marketing,Accel Partners|Shasta Ventures|Tom McInerney|Felicis Ventures,26,yes,6/18/2008,10000000,United States,North America,0,3,2,32,medium,Yes,No,No,Service,Public,Local,No,High,Bachelors,18,Management and information technology,12,No Info,No,No Info,2,10
Company153,Failed,No Info,No Info,,,,web,,,yes,,,,,0,2,0,50,Nothing,No,No,No,Service,Private,Global,No,High,Masters,21,marketing,0,No Info,No,No Info,8,unknown amount
Company154,Failed,2010,4,,,,Marketing,,,No,,,,,1,2,0,3,Nothing,Yes,No,No,Service,Private,Global,No,Medium,Bachelors,18,Computer Science,45,No Info,Yes,High,0,unknown amount
Company155,Success,2012,2,205,Cloud Analytics Solution Provider,,"Marketing,Sales,Risk,Operations",Lightspeed Venture Partners|Frank Slootman|Deep Nishar|Abhay Parasnis|James Ramsey,48,Yes,10/02/2013,8000000,United States,North America,0,2,0,51,medium,Yes,No,No,Service,Private,Global,No,High,Masters,21,Computer Science,16,Bad,No,High,0,8
Company156,Success,2007,7,120,"Video streaming, analytics, monetization",,Strategy,Sierra Ventures|Ron Conway|Rembrandt Venture Partners|CID Group|ITOCHU Corporation|Telstra Ventures (AVG)|Motorola Mobility,,Yes,12/11/2013,43000000,United States,North America,0,3,6,322,high,Yes,Yes,Yes,Product,Public,Global,No,High,Bachelors,18,Economics,50,Good,No,High,12,43
Company157,Success,2007,7,-69,Relational Database Managment System,Analytics,Strategy,Bay Partners|Mohr Davidow Ventures|PacVen Walden Ventures|Walden International|Menlo Ventures|Tao Venture Partners|Silicon Valley Bank|Amazon,55,Yes,4/25/2012,20000000,United States,North America,0,2,0,46,high,Yes,No,No,Product,Private,Global,No,High,Masters,21,MBA,40,Bad,Yes,Medium,0,20
Company158,Success,2013,1,,,,Marketing,,,Yes,,,,,0,2,0,12,medium,No,No,No,Service,Both,Global,Yes,High,Masters,21,MBA,18,Good,No,High,0,4.5
Company159,Failed,2007,7,17,Marketing Prediction Software,,Marketing,Sierra Ventures|Sherpalo Ventures,,No,3/25/2008,4300000,United States,North America,0,2,1,5,low,No,No,No,Service,Private,Global,No,Medium,Masters,21,MBA,25,No Info,No,Medium,1,4.3
Company160,Failed,2007,7,,,,curated web,,,No,,,,,0,2,0,4,low,Yes,No,No,Service,Public,Global,Yes,Medium,Bachelors,18,Computer Science,10,No Info,Yes,High,1,0.11
Company161,Success,2007,7,1535,Predictive analytics on open stack,Analytics|Enterprise Software,Development Tool,Earlybird Venture Capital|Open Ocean|David Axmark|Michael Widenius,,Yes,11/04/2013,5000000,United States,North America,0,1,6,33,high,Yes,No,Yes,Service,Private,Global,Yes,Medium,PhD,25,Data Mining,41,Good,Yes,High,0,5
Company162,Success,2013,1,120,CRE research made simple,Analytics|Finance,Strategy,Jeffrey P. Parker|Tom Falus|Matt Dwyer|Sam Wohlstadter|Resolute.vc|High Peaks Venture Partners|KEC Ventures|SoftBank Capital|Jeff Parker|FinTech Collective,5,No,3/18/2014,3700000,United States,North America,0,4,1,8,Nothing,No,No,No,Service,Private,Local,No,Medium,Masters,21,MBA,10,Bad,Yes,High,0,3.7
Company163,Success,2007,7,355,R Language Professional Support,Analytics|Insurance,Tool,Intel Capital|Presidio Ventures|North Bridge Venture Partners,103,yes,01/02/2013,7800000,United States,North America,0,2,3,105,high,No,Yes,Yes,Product,Private,Global,Yes,High,Bachelors,18,Management and Technology,6,Good,Yes,No Info,0,7.8
Company164,Success,2009,5,,,,"Customer Retention, Customer Feedback",,,No,,,,,4,2,0,5,medium,Yes,No,No,Service,Private,Local,No,Medium,Bachelors,18,Business Administration,17,Bad,Yes,Medium,0,1
Company165,Success,2013,1,294,Simple Inventory Management for Square,E-Commerce|Retail|Mobile,Inventory management,TechStars|Techstars,4,No,10/11/2013,1000000,United States,North America,1,3,0,6,high,No,No,No,Service,Private,Local,Yes,High,Masters,21,MBA,45,Bad,Yes,High,0,1
Company166,Success,2011,3,221,Changing how people save energy,Gaming|CleanTech|Social Networking|Energy,Energy saving,TechStars|Vision Ridge Partners|Green Tree Equity|Jove Equity Partners|David Cohen|Techstars|Brett Jackson|Bart Lorang|Walt Winshall|Valero Capital|Five Mill Ventures|Westly Group|the Menlo Park,26,Yes,1/27/2014,6000000,United States,North America,9,2,0,32,high,No,No,No,Service,Private,Local,No,Medium,Bachelors,18,Arts,27,Good,Yes,No Info,4,6
Company167,Success,2012,2,334,The Machine Learning Company,Analytics,"Optimization, CRM, Pricing",Javelin Venture Partners|Alireza Masrour|Plug & Play Ventures|US Venture Partners|United Parcel Service|Osage University Partners|Scott McNealy,36,yes,4/30/2013,18000000,United States,North America,0,2,4,42,low,No,No,No,Service,Private,Global,Yes,High,PhD,25,Computer Science,40,Good,Yes,High,0,18
Company168,Success,2007,7,84,Social Media Marketing & Technology,Advertising|Media|Mobile|Marketing,Social Media optimization,,20,yes,01/01/2010,1500000,United States,North America,0,1,4,290,medium,Yes,No,Yes,Service,Private,Global,No,High,Bachelors,18,Economics and American literature,20,Bad,Yes,No Info,3,1.5
Company169,Success,2009,5,237,Real-time big data platform,,many,Reed Elsevier Ventures|Divergent Ventures|Musea Ventures|Triage Ventures,38,Yes,03/05/2014,4499999,United States,North America,2,1,5,40,medium,No,No,No,Service,Private,Global,Yes,High,Bachelors,18,Chemical Engineering,21,Bad,No,High,0,4.499999
Company170,Failed,2007,7,,,,games,,,No,,,,,0,2,1,4,medium,No,No,No,Service,Private,Global,No,High,Masters,21,marketing,25,No Info,No,No Info,1,No Info
Company171,Success,2010,4,616,active analytics,Analytics|Software Development|Marketing,"Marketing, customer targeting",Andreessen Horowitz|500 Startups|Point Nine Capital|Sand Hill Angels |Dingman Center Angels,6,No,06/10/2013,1000000,United States,North America,5,2,0,5,high,No,No,No,Service,Private,Global,Yes,Medium,Masters,21,Arts and Culture,35,Bad,Yes,High,0,1
Company172,Failed,No Info,No Info,3,Social media marketing,Space Travel,entertainment,Mark Bayliss,,No,3/20/2008,4000000,United States,North America,0,3,1,10,low,No,No,No,Product,Private,Local,No,High,Bachelors,18,physics,10,No Info,No,No Info,6,4
Company173,Success,2012,2,137,The Real-Time SQL-on-Hadoop Database,Analytics,Database Management,Mohr Davidow Ventures|InterWest Partners,24,yes,02/10/2014,15000000,United States,North America,0,3,4,30,high,Yes,No,No,Product,Private,Global,No,High,Masters,21,Biomedical and mechanical Engineering,12,Good,Yes,High,0,15
Company174,Success,2002,12,83,Real-time business intelligence,,Database Management,Fontinalis Partners,,yes,5/20/2011,6000000,United States,North America,0,1,6,18,high,Yes,No,No,Service,Private,Global,No,High,Bachelors,18,Computer Science,0,Good,Yes,High,0,6
Company175,Success,2010,4,191,,Search|Enterprise Software|Mobile,Search EnginenOptimization,TenOneTen Ventures|Data Collective,6,No,,,United States,North America,0,2,0,8,high,Yes,No,No,Product,Private,Global,Yes,High,PhD,25,Computer Science,0,No Info,Yes,High,0,0.77
Company176,Success,2012,2,23,Data Management for Agriculture,,Information management,Hub Ventures,3,Yes,04/01/2012,20000,United States,North America,1,1,1,10,medium,Yes,No,No,Service,Private,local,No,Medium,Masters,21,engg,25,No Info,No,Low,0,0.02
Company177,Success,2009,5,56,Social media performance measurement,Analytics|Marketing|Software Development,strategy,Foundry Group|Upfront Ventures|kbs+ Ventures|Social Leverage|Neu Venture Capital|Apricot Capital,15,yes,12/01/2011,4250000,United States,North America,3,2,2,14,high,No,No,No,Service,Private,global,No,Medium,Bachelors,18,cse,9,Average,No,No Info,3,4.25
